Platform,Campaign,Marketing Objective,Impressions,Reach,Clicks,Link Clicks,Video Views,Conversions,Spend,Start Date,End Date
Google Ads,NYP | Adult Learners,(Unspecified),16726,0,2016,0,0,10184.53,2452.03,,
Google Ads,NYP | ITE Graduates,(Unspecified),13568,0,563,0,0,2289.38,803.92,,
Google Ads,NYP | Mid-Career Professionals,(Unspecified),15751,0,1686,0,0,6343.29,1126.51,,
Google Ads,PMax | Adult Learners,(Unspecified),659126,0,8047,0,0,14311.86,1160.03,,
Google Ads,PMax | ITE Graduates,(Unspecified),477298,0,6569,0,0,9193.64,680.99,,
Google Ads,PMax | Mid-Career Professionals,(Unspecified),764235,0,9580,0,0,14379.1,1158.25,,
Google Search,5 In-Demand Areas_CET_SEM_GG_KWDT_RSA_CAT_BMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_210225_210325_NY2520,(Unspecified),42674,0,1608,0,0,1542.42,1107.19,,
Google Search,Brand Product_CET_SEM_GG_KWDT_RSA_CAT_PMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_110225_210325_NY2520,(Unspecified),9173,0,2470,0,0,1564.83,3538.65,,
Google Search,Brand_CET_SEM_GG_KWDT_RSA_CAT_PMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_110225_210325_NY2520,(Unspecified),25655,0,6809,0,0,4859.44,1954.32,,
Google Search,Generic_CET_SEM_GG_KWDT_RSA_CAT_EMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_280125_210325_NY2520,(Unspecified),3430,0,388,0,0,8.51,1234.29,,
Google Search,Generic_CET_SEM_GG_KWDT_RSA_CAT_PMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_280125_210325_NY2520,(Unspecified),103802,0,9675,0,0,2135.76,5779.34,,
Google Search,ITE Grads (Generic)_CET_SEM_GG_KWDT_RSA_CAT_PMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_110225_210325_NY2520,(Unspecified),10561,0,1448,0,0,877.37,2569.86,,
Google Search,Mid-Career (Brand)_CET_SEM_GG_KWDT_RSA_CAT_BMA_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_110225_210325_NY2520,(Unspecified),2918,0,627,0,0,62.87,1790.32,,
Google Search,Mid-Career (Generic)_CET_SEM_GG_KWDT_RSA_CAT_AMT_AW_CPC_en_3314SGGRM23581-CET Digital Marketing Campaign_110225_210325_NY2520,(Unspecified),165478,0,11361,0,0,8383.62,7758.97,,
LinkedIn,NY2520 - CET B2C - Awareness - NYP Generic - Video Ads - 15 Jan - 11 Feb,Awareness,246002,144096,695,0,58148,0.0,2000.01,2025-01-15,
LinkedIn,NY2520 - CET B2C - Traffic - ITE Grads - Static Ada - 28 Feb - 21 Mar,Traffic,152753,93944,701,0,0,0.0,3999.96,2025-02-28,
Meta,NY2520 - CET B2C - Awareness - $4k Top Up - 15 Jan - 11 Feb,Awareness,1426927,525633,3898,1956,0,0.0,3000.0,2025-01-08,2025-02-11
Meta,NY2520 - CET B2C - Awareness - Adult Learners with SFC - 15 Jan - 11 Feb,Awareness,1772721,690587,3420,1959,0,0.0,2999.97,2025-01-08,2025-02-11
Meta,NY2520 - CET B2C - Awareness - General Adult Learning - 15 Jan - 11 Feb,Awareness,732756,365315,1326,219,8489,0.0,1000.0,2025-01-08,2025-02-11
Meta,NY2520 - CET B2C - Awareness - ITE Grads - 15 Jan - 11 Feb,Awareness,932079,360528,1763,1048,0,0.0,1500.0,2025-01-08,2025-02-11
Meta,NY2520 - CET B2C - Traffic - Adult Learners with SFC - 27 Feb - 21 Mar,Traffic,614427,238170,5166,4042,0,0.0,2499.01,2025-02-27,2025-03-21
Meta,NY2520 - CET B2C - Traffic - General Adult Learning - AI - 28 Feb - 21 Mar,Traffic,625852,278949,10463,5102,0,0.0,2998.97,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - General Adult Learning - Cybersecurity - 28 Feb - 21 Mar,Traffic,457189,265631,4542,2619,0,0.0,1499.04,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - General Adult Learning - Digital Marketing - 28 Feb - 21 Mar,Traffic,454178,265342,3789,2885,0,0.0,1498.37,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - General Adult Learning - Engineering - 28 Feb - 21 Mar,Traffic,294720,169704,3333,1623,0,0.0,999.23,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - General Adult Learning - Personal Development - 28 Feb -  21 Mar,Traffic,198961,112705,5205,2583,0,0.0,1499.65,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - General Adult Learning - Sustainability - 28 Feb - 21 Mar,Traffic,916065,384043,7011,5224,0,0.0,2999.11,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - ITE Grads - 28 Feb - 21 Mar,Traffic,1006003,282076,6358,4572,0,0.0,2996.86,2025-02-28,2025-03-21
Meta,NY2520 - CET B2C - Traffic - Mid-Careers with $4k SFC - 28 Feb - 21 Mar,Traffic,847307,300160,7924,5207,0,0.0,2999.28,2025-02-28,2025-03-21
Meta,NYP CET | Carousel (Adult learners - Top 10) | 8 Aug - 2 Oct 2025,(Unspecified),204250,54703,0,2136,0,0.0,1904.71,2025-08-08,2025-09-07
Meta,NYP CET | Static (Adult learners - Business Management) | 8 Aug - 2 Oct 2025,(Unspecified),90843,34503,0,1119,0,0.0,787.11,2025-08-08,2025-09-07
Meta,NYP CET | Static (Adult learners - Info Tech) | 8 Aug - 2 Oct 2025,(Unspecified),85565,39424,0,1008,0,0.0,779.35,2025-08-08,2025-09-07
Meta,NYP CET | Static (ITE) | 8 Aug -2 Oct 2025,(Unspecified),127788,42207,0,1369,0,0.0,1013.78,2025-08-08,2025-09-07
Meta,NYP CET | Static (Mid-Career Professionals) | 8 Aug - 2 Oct 2025,(Unspecified),325058,108605,0,2991,0,0.0,2147.32,2025-08-08,2025-09-07
Meta,NYP CET | Static (Mid-Career Professionals-SCTP) | 8 Aug - 2 Oct 2025,(Unspecified),151198,54314,0,3423,0,0.0,2139.29,2025-08-08,2025-09-07
Meta,NYP CET | Static/Video (Adult learners - AI) | 22 Aug - 2 Oct 2025,(Unspecified),97872,49989,0,1193,0,0.0,730.98,2025-08-08,2025-09-07
Meta,NYP CET | Static/Video (Adult learners - Personal Development) | 22 Aug - 2 Oct 2025,(Unspecified),76688,37421,0,1631,0,0.0,759.87,2025-08-08,2025-09-07
Meta,NYP CET | Static/Video (Adult learners - Sustainability) | 22 Aug - 2 Oct 2025,(Unspecified),98803,46883,0,942,0,0.0,795.08,2025-08-08,2025-09-07
YouTube,Affinity,(Unspecified),686877,0,738,0,49342,0.0,6181.89,,
YouTube,Category,(Unspecified),84440,0,121,0,7924,0.0,759.96,,
YouTube,Custom Affinity,(Unspecified),475688,0,669,0,57304,0.0,4281.19,,
YouTube,Detailed Demo,(Unspecified),39624,0,52,0,3943,0.0,356.62,,
YouTube,In-Market,(Unspecified),338361,0,569,0,38001,0.0,3045.25,,
YouTube,Keywords,(Unspecified),55775,0,38,0,5418,0.0,501.98,,
