Campaign Name,Spend,Impressions,Clicks,Platform
NY2520 - CET B2C - Awareness - Adult Learners with SFC - 15 Jan - 11 Feb,2999.97,1772721,3420,Meta (FB/IG)
NY2520 - CET B2C - Awareness - $4k Top Up - 15 Jan - 11 Feb,3000,1426927,3898,Meta (FB/IG)
NY2520 - CET B2C - Awareness - ITE Grads - 15 Jan - 11 Feb,1500,932079,1763,Meta (FB/IG)
NY2520 - CET B2C - Traffic - Adult Learners with SFC - 27 Feb - 21 Mar,2499.01,614427,5166,Meta (FB/IG)
NY2520 - CET B2C - Traffic - General Adult Learning - AI - 28 Feb - 21 Mar,2998.97,625852,10463,Meta (FB/IG)
NY2520 - CET B2C - Traffic - General Adult Learning - Sustainability - 28 Feb - 21 Mar,2999.11,916065,7011,Meta (FB/IG)
NY2520 - CET B2C - Traffic - General Adult Learning - Digital Marketing - 28 Feb - 21 Mar,1498.37,454178,3789,Meta (FB/IG)
NY2520 - CET B2C - Traffic - General Adult Learning - Cybersecurity - 28 Feb - 21 Mar,1499.04,457189,4542,Meta (FB/IG)
NY2520 - CET B2C - Traffic - General Adult Learning - Engineering - 28 Feb - 21 Mar,999.23,294720,3333,Meta (FB/IG)
NY2520 - CET B2C - Traffic - General Adult Learning - Personal Development - 28 Feb -  21 Mar,1499.65,198961,5205,Meta (FB/IG)
NY2520 - CET B2C - Traffic - Mid-Careers with $4k SFC - 28 Feb - 21 Mar,2999.28,847307,7924,Meta (FB/IG)
NY2520 - CET B2C - Traffic - ITE Grads - 28 Feb - 21 Mar,2996.86,1006003,6358,Meta (FB/IG)
NY2520 - CET B2C - Awareness - General Adult Learning - 15 Jan - 11 Feb,1000,732756,1326,Meta (FB/IG)
Affinity,1977.156,219684,248,YouTube
Affinity,2862.225,318025,274,YouTube
Affinity,1342.512,149168,216,YouTube
Category,194.22,21580,43,YouTube
Category,295.227,32803,37,YouTube
Category,270.513,30057,41,YouTube
Custom Affinity,1103.715,122635,200,YouTube
Custom Affinity,1860.012,206668,248,YouTube
Custom Affinity,1317.465,146385,221,YouTube
Detailed Demo,78.876,8764,14,YouTube
Detailed Demo,163.674,18186,26,YouTube
Detailed Demo,114.066,12674,12,YouTube
In-Market,845.388,93932,180,YouTube
In-Market,1342.098,149122,208,YouTube
In-Market,857.763,95307,181,YouTube
Keywords,120.204,13356,10,YouTube
Keywords,206.748,22972,13,YouTube
Keywords,175.023,19447,15,YouTube
,15126.885,1680765,2187,YouTube
