Dept/Sch/Institute,Campaign ID,Campaign Name,Campaign Name for UTM,Campaign Type,Campaign Objective,Start Date,End Date,Marketing Channel,Marketing Platform,Remarks,Agency Rate,Media Cost,Production Cost,Calculated Agency Fee,Total Campaign Spend
NACE,NYP2025-001,NACE CET - B2B Campaign - Q1 2025,nace-cet-b2b-q4,CET - B2B,Conversion,01-03-24 0:00,29-03-24 0:00,Others,Print,Mock Data Row,0,22905.27,0,0,22905.27
NACE,NYP2025-001,NACE CET - B2B Campaign - Q1 2025,nace-cet-b2b-q4,CET - B2B,Conversion,01-03-24 0:00,29-03-24 0:00,Digital Ads,LinkedIn,Mock Data Row,0,12838.67,14376.91,0,27215.58
SBM,NYP2025-002,SBM PET Campaign - Q3 2025,sbm-pet-q2,PET,Awareness,17-02-24 0:00,04-04-24 0:00,Digital Ads,Google Search,Mock Data Row,0.05,29563.38,5526.67,1478.169,36568.219
SIT,NYP2025-003,SIT CET - B2B Campaign - Q2 2025,sit-cet-b2b-q4,CET - B2B,Lead Generation,02-07-24 0:00,07-08-24 0:00,Out-of-Home Ads,MRT Platform Screen Door Concept,Mock Data Row,0,45603.47,10283.86,0,55887.33
SIT,NYP2025-003,SIT CET - B2B Campaign - Q2 2025,sit-cet-b2b-q4,CET - B2B,Lead Generation,02-07-24 0:00,07-08-24 0:00,Digital Ads,Google Search,Mock Data Row,0,17833.24,0,0,17833.24
SIT,NYP2025-003,SIT CET - B2B Campaign - Q2 2025,sit-cet-b2b-q4,CET - B2B,Lead Generation,02-07-24 0:00,07-08-24 0:00,Others,Admail,Mock Data Row,0,8784.16,0,0,8784.16
SIT,NYP2025-004,SIT CET - B2B Campaign - Q3 2025,sit-cet-b2b-q1,CET - B2B,Conversion,20-08-24 0:00,16-10-24 0:00,Others,Admail,Mock Data Row,0.018,32223.08,0,580.01544,32803.09544
SIT,NYP2025-004,SIT CET - B2B Campaign - Q3 2025,sit-cet-b2b-q1,CET - B2B,Conversion,20-08-24 0:00,16-10-24 0:00,Out-of-Home Ads,Bus Shelter Posters,Mock Data Row,0.05,44398.49,0,2219.9245,46618.4145
SIT,NYP2025-004,SIT CET - B2B Campaign - Q3 2025,sit-cet-b2b-q1,CET - B2B,Conversion,20-08-24 0:00,16-10-24 0:00,Digital Ads,TikTok,Mock Data Row,0.018,43550.6,5296.15,783.9108,49630.6608
SHSS,NYP2025-005,SHSS CET - B2B Campaign - Q4 2025,shss-cet-b2b-q4,CET - B2B,Awareness,12-05-24 0:00,14-06-24 0:00,Out-of-Home Ads,Bus Shelter Posters,Mock Data Row,0.05,12385.2,0,619.26,13004.46
SHSS,NYP2025-005,SHSS CET - B2B Campaign - Q4 2025,shss-cet-b2b-q4,CET - B2B,Awareness,12-05-24 0:00,16-06-24 0:00,Digital Ads,Instagram,Mock Data Row,0.035,5904.2,0,206.647,6110.847
SIT,NYP2025-006,SIT PET Campaign - Q2 2025,sit-pet-q4,PET,Awareness,45445,45476,Out-of-Home Ads,Bus Shelter Posters,Mock Data Row,0.018,7689.33,11346.81,138.40794,19174.54794
SIT,NYP2025-006,SIT PET Campaign - Q2 2025,sit-pet-q4,PET,Awareness,45445,45476,Out-of-Home Ads,HDB Digital Display Panels,Mock Data Row,0.05,38356.46,2258.9,1917.823,42533.183
NACE,NYP2025-007,NACE CET - B2C Campaign - Q2 2025,nace-cet-b2c-q1,CET - B2C,Lead Generation,45452,45467,Content Marketing,The Straits Times,Mock Data Row,0.018,44141.32,0,794.54376,44935.86376
ACI,NYP2025-008,ACI PET Campaign - Q2 2025,aci-pet-q3,PET,Awareness,45435,45483,Others,Print,Mock Data Row,0,27378.45,11670.34,0,39048.79
ACI,NYP2025-008,ACI PET Campaign - Q2 2025,aci-pet-q3,PET,Awareness,45435,45483,Digital Ads,TikTok,Mock Data Row,0,40947.7,0,0,40947.7
NACE,NYP2025-009,NACE PET Campaign - Q3 2025,nace-pet-q1,PET,Lead Generation,45538,45565,Content Marketing,Mothership,Mock Data Row,0,9936.35,0,0,9936.35
SHSS,NYP2025-010,SHSS PET Campaign - Q3 2025,shss-pet-q2,PET,Lead Generation,04-01-24 0:00,10-01-24 0:00,Others,Admail,Mock Data Row,0,36736.13,0,0,36736.13
SHSS,NYP2025-010,SHSS PET Campaign - Q3 2025,shss-pet-q2,PET,Lead Generation,04-01-24 0:00,19-01-24 0:00,Content Marketing,The Straits Times,Mock Data Row,0.05,22969.12,10523.06,1148.456,34640.636
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,08-01-25 0:00,04-02-25 0:00,Out-of-Home Ads,MRT Platform Screen Door Concept,Hougang MRT Station,0.018,27115,15500,488.07,43103.07
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,30-01-25 0:00,26-02-25 0:00,Out-of-Home Ads,MRT Platform Screen Door Concept,Punggol MRT Station,0.018,27115,15500,488.07,43103.07
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,08-01-25 0:00,21-02-25 0:00,Out-of-Home Ads,HDB Digital Display Panels,Burst 1,0.035,11789.5,0,412.6325,12202.1325
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,19-02-25 0:00,04-03-25 0:00,Out-of-Home Ads,HDB Digital Display Panels,Burst 2,0.035,11789.5,0,412.6325,12202.1325
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,18-02-25 0:00,24-02-25 0:00,Others,Admail,,0,15467.28,0,0,15467.28
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,15-01-25 0:00,11-02-25 0:00,Digital Ads,Meta (FB + IG),,0.07,8499.97,0,594.9979,9094.9679
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,15-01-25 0:00,11-02-25 0:00,Digital Ads,LinkedIn,,0.07,2000.01,0,140.0007,2140.0107
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Awareness,15-01-25 0:00,11-02-25 0:00,Digital Ads,YouTube,,0.07,5000,0,350,5350
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Conversion,27-02-25 0:00,21-03-25 0:00,Digital Ads,Meta (FB + IG),,0.07,19989.52,0,1399.2664,21388.7864
