Campaign,Dept/Sch/Institute,Marketing Objective,Publisher,Month,Reach,Page Views,Avg Time on Page (s),Impressions,Clicks,Spend
CET B2C Campaign - Q1 2025,C&O,Awareness,Mothership,2025-01-01,78513,6463,59.9,140737,2026,5133.45
CET B2C Campaign - Q1 2025,C&O,Awareness,AsiaOne,2025-01-01,28331,1834,76.7,45450,289,2391.86
CET B2C Campaign - Q1 2025,C&O,Awareness,The Smart Local,2025-01-01,190363,32782,105.8,296845,7653,7085.1
CET B2C Campaign - Q1 2025,C&O,Awareness,The Straits Times,2025-01-01,218916,41360,146.2,322288,8133,7700.49
CET B2C Campaign - Q1 2025,C&O,Awareness,Channel News Asia,2025-01-01,108236,8264,100.1,160966,2092,2851.65
CET B2C Campaign - Q1 2025,C&O,Awareness,Mothership,2025-02-01,31390,5548,122.8,62104,1462,4864.28
CET B2C Campaign - Q1 2025,C&O,Awareness,AsiaOne,2025-02-01,237423,38125,173.4,353595,7918,1486.89
CET B2C Campaign - Q1 2025,C&O,Awareness,The Smart Local,2025-02-01,193346,18650,87.0,244357,4099,1707.01
CET B2C Campaign - Q1 2025,C&O,Awareness,The Straits Times,2025-02-01,92869,12309,165.9,123527,3158,5691.23
CET B2C Campaign - Q1 2025,C&O,Awareness,Channel News Asia,2025-02-01,203977,42807,139.0,344171,8618,6103.89
CET B2C Campaign - Q1 2025,C&O,Awareness,Mothership,2025-03-01,62834,8417,84.1,121917,3000,2537.31
CET B2C Campaign - Q1 2025,C&O,Awareness,AsiaOne,2025-03-01,105008,20461,157.5,145251,3266,3208.17
CET B2C Campaign - Q1 2025,C&O,Awareness,The Smart Local,2025-03-01,90186,6366,177.4,149144,2325,2488.39
CET B2C Campaign - Q1 2025,C&O,Awareness,The Straits Times,2025-03-01,150870,18602,177.6,236425,4268,2726.39
CET B2C Campaign - Q1 2025,C&O,Awareness,Channel News Asia,2025-03-01,167159,24444,153.3,257884,7945,3533.98
NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,AsiaOne,2025-02-01,218123,14731,60.9,371235,5710,3955.12
NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,Channel News Asia,2025-02-01,36653,4455,131.4,57707,1004,4872.58
NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,Mothership,2025-02-01,23009,3884,61.6,43897,1457,6380.19
NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,AsiaOne,2025-03-01,109174,8499,108.0,170636,3706,7130.97
NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,Channel News Asia,2025-03-01,89045,19189,155.5,143019,3490,5377.1
NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,Mothership,2025-03-01,240638,39039,133.3,318188,14786,4775.65
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Mothership,2025-04-01,115153,23099,165.6,166512,3866,7146.07
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,The Smart Local,2025-04-01,40645,2995,115.5,51024,1132,6360.84
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,The Straits Times,2025-04-01,53657,8883,182.3,71476,2738,5246.16
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,AsiaOne,2025-04-01,75521,15755,154.5,132304,5733,3792.95
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Channel News Asia,2025-04-01,196078,32152,108.5,316481,5989,2572.88
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Mothership,2025-05-01,108627,6883,125.3,181488,1047,5954.89
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,The Smart Local,2025-05-01,35433,3423,176.3,66887,586,2666.03
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,The Straits Times,2025-05-01,195368,26895,123.2,347497,11153,5033.48
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,AsiaOne,2025-05-01,83700,15529,162.1,113189,2780,4017.36
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Channel News Asia,2025-05-01,131038,16481,170.3,162924,5703,5523.26
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Mothership,2025-06-01,35889,4465,94.2,67806,1002,2331.46
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,The Smart Local,2025-06-01,137601,11342,71.6,216047,4676,1527.69
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,The Straits Times,2025-06-01,231818,45857,124.8,287563,20625,6852.19
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,AsiaOne,2025-06-01,44448,9254,168.1,59251,2736,2496.23
SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Channel News Asia,2025-06-01,125130,25575,68.9,150371,6831,7485.63
SBM PET Campaign - Q3 2025,SBM,Awareness,The Smart Local,2025-07-01,60579,5475,76.6,75529,2029,1426.7
SBM PET Campaign - Q3 2025,SBM,Awareness,Channel News Asia,2025-07-01,102209,7067,129.7,163767,2867,2102.03
SBM PET Campaign - Q3 2025,SBM,Awareness,AsiaOne,2025-07-01,153124,11150,71.9,256640,3931,2646.43
SBM PET Campaign - Q3 2025,SBM,Awareness,The Straits Times,2025-07-01,51427,10833,127.6,85530,1754,1573.88
SBM PET Campaign - Q3 2025,SBM,Awareness,The Smart Local,2025-08-01,192326,29500,120.8,374605,6232,6013.34
SBM PET Campaign - Q3 2025,SBM,Awareness,Channel News Asia,2025-08-01,82570,8463,64.0,141723,2430,7503.13
SBM PET Campaign - Q3 2025,SBM,Awareness,AsiaOne,2025-08-01,39016,2399,135.1,64391,431,4763.44
SBM PET Campaign - Q3 2025,SBM,Awareness,The Straits Times,2025-08-01,152614,15632,180.3,290682,6468,3586.69
