Campaign ID,Campaign,Dept/Sch/Institute,Marketing Objective,Channel,Month,Reach,QR Code Scans,Impressions,Avg Session Duration (s),Spend
NYP2025-001,NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,Brochures,2024-03-01,34184,152,114648,66.7,4511.68
NYP2025-001,NACE CET - B2B Campaign - Q1 2025,NACE,Conversion,Roadshow,2024-03-01,31868,2821,106810,111.8,12628.87
NYP2025-003,SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Admail,2024-07-01,12811,433,26218,105.8,2477.65
NYP2025-003,SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Admail,2024-08-01,57124,2982,178495,111.7,5967.93
NYP2025-003,SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Flyers,2024-07-01,159472,1189,561911,31.0,16504.75
NYP2025-003,SIT CET - B2B Campaign - Q2 2025,SIT,Lead Generation,Flyers,2024-08-01,188013,1781,441948,53.3,19229.84
NYP2025-004,SIT CET - B2B Campaign - Q3 2025,SIT,Conversion,Admail,2024-08-01,31793,429,77887,83.8,8191.2
NYP2025-004,SIT CET - B2B Campaign - Q3 2025,SIT,Conversion,Admail,2024-09-01,74342,227,247137,110.4,19516.08
NYP2025-004,SIT CET - B2B Campaign - Q3 2025,SIT,Conversion,Admail,2024-10-01,104230,372,300192,154.4,13133.36
NYP2025-004,SIT CET - B2B Campaign - Q3 2025,SIT,Conversion,EDM (Email),2024-08-01,99800,2414,197676,40.4,13902.74
NYP2025-004,SIT CET - B2B Campaign - Q3 2025,SIT,Conversion,EDM (Email),2024-09-01,80861,376,294196,160.0,8842.27
NYP2025-004,SIT CET - B2B Campaign - Q3 2025,SIT,Conversion,EDM (Email),2024-10-01,123858,2653,444065,54.4,8394.87
NYP2025-008,ACI PET Campaign - Q2 2025,ACI,Awareness,Brochures,2024-05-01,74986,2924,288068,127.2,12964.36
NYP2025-008,ACI PET Campaign - Q2 2025,ACI,Awareness,Brochures,2024-06-01,49862,2237,165682,54.5,8830.2
NYP2025-008,ACI PET Campaign - Q2 2025,ACI,Awareness,Brochures,2024-07-01,172772,2868,499721,132.7,17171.33
NYP2025-008,ACI PET Campaign - Q2 2025,ACI,Awareness,Roadshow,2024-05-01,19663,988,69892,150.8,9220.97
NYP2025-008,ACI PET Campaign - Q2 2025,ACI,Awareness,Roadshow,2024-06-01,22350,914,84546,115.1,14922.46
NYP2025-008,ACI PET Campaign - Q2 2025,ACI,Awareness,Roadshow,2024-07-01,60738,2734,166912,162.7,13571.33
NYP2025-010,SHSS PET Campaign - Q3 2025,SHSS,Lead Generation,Admail,2024-01-01,74436,621,157548,114.2,6729.35
NYP2025-010,SHSS PET Campaign - Q3 2025,SHSS,Lead Generation,Flyers,2024-01-01,158245,1804,592557,89.9,5947.77
NYP2025-001,CET B2C Campaign - Q1 2025,C&O,Awareness,Admail,2025-02-01,138569,2071,239346,37.1,3973.68
NYP2025-001,CET B2C Campaign - Q1 2025,C&O,Awareness,Flyers,2025-02-01,169481,705,589827,93.3,3143.5
