Date,Page path and screen class,Campaign Name for UTM,Views,Total users,Sessions,Average session duration
1/20/2024,/adult-learner/course-types/part-time-diplomas,shss-pet-q2,127,92,107,291.25
5/31/2024,/admissions,nace-pet-q1,312,213,254,116.95
2/8/2024,/adult-learner/short-courses,nace-pet-q1,730,446,542,336.15
2/7/2024,/admissions,sit-pet-q4,704,539,587,174.63
9/2/2024,/adult-learner/find-a-course,sbm-pet-q2,739,431,520,297.24
12/3/2024,/courses/data-science,(referral),431,392,401,306.51
1/21/2024,/admissions,(referral),757,599,629,333.41
7/23/2024,/adult-learner/short-courses,sit-cet-b2b-q4,301,213,221,221.09
7/22/2024,/adult-learner/course-types/part-time-diplomas,aci-pet-q3,897,627,638,64.67
2/8/2024,/adult-learner/find-a-course,nace-cet-b2b-q4,856,637,684,134.42
4/27/2024,/adult-learner/find-a-course,shss-cet-b2b-q4,524,429,432,139.5
7/13/2024,/admissions,(referral),469,286,343,309.78
6/1/2024,/adult-learner/short-courses,(not set),376,304,352,238.26
2/11/2024,/about-nyp,(referral),913,793,826,105.36
3/23/2024,/adult-learner/short-courses,nace-pet-q1,180,119,148,132.56
11/23/2024,/contact-us,shss-cet-b2b-q4,677,438,484,283.21
3/30/2024,/about-nyp,nace-cet-b2b-q4,968,678,694,261
7/3/2024,/courses/data-science,shss-pet-q2,368,255,287,145.82
5/4/2024,/courses/data-science,(referral),99,76,78,328.36
4/20/2024,/courses/data-science,nace-cet-b2c-q1,217,170,199,231.51
1/30/2024,/adult-learner/short-courses,sit-cet-b2b-q4,495,376,391,100.58
1/29/2024,/adult-learner/find-a-course,(referral),791,483,583,71.13
4/30/2024,/about-nyp,shss-cet-b2b-q4,362,277,326,82.91
6/20/2024,/contact-us,shss-pet-q2,522,384,401,349.43
11/12/2024,/adult-learner/find-a-course,shss-cet-b2b-q4,716,539,540,340.73
11/25/2024,/about-nyp,sit-cet-b2b-q4,942,623,685,39.72
9/20/2024,/about-nyp,sbm-pet-q2,920,644,685,383.7
8/19/2024,/about-nyp,(direct),842,573,598,134.77
12/17/2024,/contact-us,shss-cet-b2b-q4,415,295,324,30.12
12/19/2024,/admissions,shss-cet-b2b-q4,926,597,702,185.2
6/14/2024,/contact-us,nace-cet-b2b-q4,312,206,226,197.17
7/31/2024,/adult-learner/course-types/part-time-diplomas,(organic),725,447,531,376.32
8/14/2024,/about-nyp,(not set),869,770,805,348.75
4/15/2024,/adult-learner/course-types/part-time-diplomas,aci-pet-q3,345,241,285,360.74
10/16/2024,/admissions,shss-pet-q2,196,166,184,160.1
11/22/2024,/contact-us,sit-cet-b2b-q1,827,590,625,87.75
3/9/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2b-q4,146,112,119,303.86
4/24/2024,/adult-learner/find-a-course,(referral),689,595,625,37.43
3/12/2024,/contact-us,nace-cet-b2c-q1,307,261,266,308.19
12/29/2024,/adult-learner/short-courses,aci-pet-q3,205,133,148,351.72
1/4/2024,/contact-us,sit-cet-b2b-q4,165,153,155,293.88
