# ----------------------------------------
# Corp Site Adult Learner
# Copy of CET Campaign Results-Free form 1
# 20250101-20250430
# ----------------------------------------

Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Page path and screen class,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits
,146503,135827,145473,26724,539229,205411,2.625122315747453,178.87790257426326,0.4059909157737414,193467,146503,135827,145473,26724,539229,205411,2.625122315747453,178.87790257426326,0.4059909157737414,193467,Grand total
/adult-learner,40128,27095,39608,8651,64548,48378,1.334242837653479,83.72443568564223,0.2698747364504527,26627,40128,27095,39608,8651,64548,48378,1.334242837653479,83.72443568564223,0.2698747364504527,26627
/adult-learner/find-a-course,37964,4147,37877,10093,112600,52191,2.157460098484413,159.58321981912593,0.11743404035178479,23070,37964,4147,37877,10093,112600,52191,2.157460098484413,159.58321981912593,0.11743404035178479,23070
/adult-learner/skillsfuture-credit,21379,14309,21241,2655,28722,24450,1.1747239263803682,54.86077156854806,0.4192638036809816,15107,21379,14309,21241,2655,28722,24450,1.1747239263803682,54.86077156854806,0.4192638036809816,15107
/adult-learner/course-types/part-time-diplomas-certificates,19331,11072,19259,4165,26885,23204,1.15863644199276,79.90582957201345,0.23543354594035512,9025,19331,11072,19259,4165,26885,23204,1.15863644199276,79.90582957201345,0.23543354594035512,9025
/adult-learner/skillsfuture-level-up,17612,10815,17516,2694,24727,19897,1.2427501633412072,73.42453204201638,0.25621953058249985,10337,17612,10815,17516,2694,24727,19897,1.2427501633412072,73.42453204201638,0.25621953058249985,10337
/adult-learner/course-types/recommended/business,7304,5918,7217,1221,10365,8264,1.2542352371732817,82.70130497313649,0.2933204259438529,4977,7304,5918,7217,1221,10365,8264,1.2542352371732817,82.70130497313649,0.2933204259438529,4977
/adult-learner/course-types/short-courses,6171,1946,6148,1559,9094,7359,1.2357657290392716,103.5709570158989,0.11618426416632695,2512,6171,1946,6148,1559,9094,7359,1.2357657290392716,103.5709570158989,0.11618426416632695,2512
/adult-learner/course-types/post-diploma-programmes,6059,2042,6048,1759,9325,7139,1.3062053508894804,64.43973849292618,0.07171872811318111,1444,6059,2042,6048,1759,9325,7139,1.3062053508894804,64.43973849292618,0.07171872811318111,1444
/adult-learner/course-types/work-study-post-diplomas,4372,2397,4337,1264,6638,5404,1.2283493708364175,120.63577417283491,0.17357512953367876,2207,4372,2397,4337,1264,6638,5404,1.2283493708364175,120.63577417283491,0.17357512953367876,2207
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,3529,1559,3504,917,5124,4514,1.135135135135135,112.52507129020823,0.18121400088613204,2992,3529,1559,3504,917,5124,4514,1.135135135135135,112.52507129020823,0.18121400088613204,2992
/adult-learner/course-types/career-transition-conversion-programmes,3027,986,3019,891,4240,3623,1.1703008556444936,97.1655487016285,0.08528843499861993,855,3027,986,3019,891,4240,3623,1.1703008556444936,97.1655487016285,0.08528843499861993,855
/adult-learner/course-detail/NYP-DXSP09/specialist-diploma-in-spatial-design,2601,2170,2568,170,2873,2720,1.05625,45.05093581397059,0.5676470588235294,2269,2601,2170,2568,170,2873,2720,1.05625,45.05093581397059,0.5676470588235294,2269
/adult-learner/course-detail/NYP-DXSP07/specialist-diploma-in-user-experience-design-and-management,2590,2032,2530,293,3049,2914,1.046328071379547,53.38076603946466,0.5789293067947838,2407,2590,2032,2530,293,3049,2914,1.046328071379547,53.38076603946466,0.5789293067947838,2407
/adult-learner/course-types/recommended/applied-science,2520,2313,2518,42,2670,2601,1.0265282583621684,16.68083607727797,0.8612072279892349,2408,2520,2313,2518,42,2670,2601,1.0265282583621684,16.68083607727797,0.8612072279892349,2408
/adult-learner/course-detail/NYP-DXSP01/specialist-diploma-in-smart-project-and-facilities-management,2509,1886,2432,325,2986,2816,1.0603693181818181,66.59231143892045,0.4797585227272727,2311,2509,1886,2432,325,2986,2816,1.0603693181818181,66.59231143892045,0.4797585227272727,2311
/adult-learner/course-types/work-study-certificates,2271,630,2255,711,3069,2670,1.149438202247191,106.6042524531835,0.10037453183520599,793,2271,630,2255,711,3069,2670,1.149438202247191,106.6042524531835,0.10037453183520599,793
/adult-learner/course-detail/NYP-DXSP06/specialist-diploma-in-digital-content-creation-for-e-commerce,2253,1686,2194,287,2547,2466,1.032846715328467,46.262642297648014,0.5210867802108679,1937,2253,1686,2194,287,2547,2466,1.032846715328467,46.262642297648014,0.5210867802108679,1937
/adult-learner/course-detail/NYP-DXSP05/specialist-diploma-in-digital-media-production,2196,1574,2130,231,2486,2410,1.0315352697095437,45.82947049502074,0.5684647302904564,1901,2196,1574,2130,231,2486,2410,1.0315352697095437,45.82947049502074,0.5684647302904564,1901
/adult-learner/course-detail/NYP-DXSP03/specialist-diploma-in-service-experience-design-and-innovation,2145,1486,2093,262,2440,2323,1.050365906155833,63.96773139517864,0.5678002582866982,1772,2145,1486,2093,262,2440,2323,1.050365906155833,63.96773139517864,0.5678002582866982,1772
/adult-learner/course-detail/NYP-BMDP04/diploma-in-business-practice-customer-relationship-and-service-management,2133,248,2122,646,3156,2749,1.1480538377591851,160.73274331174974,0.11313204801746089,1518,2133,248,2122,646,3156,2749,1.1480538377591851,160.73274331174974,0.11313204801746089,1518
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,2031,311,2020,615,2917,2597,1.1232190989603388,123.1495361316904,0.11128224874855602,1544,2031,311,2020,615,2917,2597,1.1232190989603388,123.1495361316904,0.11128224874855602,1544
