# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
# Corp Site Adult Learner,,,,,,,,,,,,,,,,,,,,,,
# Copy of CET Campaign Results-Free form 1,,,,,,,,,,,,,,,,,,,,,,
# 20250101-20250430,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,
Page path and screen class,First user campaign,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,
,,146503,135827,145473,26724,539229,205411,2.625122316,178.8779026,0.405990916,193467,146503,135827,145473,26724,539229,205411,2.625122316,178.8779026,0.405990916,193467,Grand total
/adult-learner,cet-q1-2025,18519,17658,18482,1543,26047,20957,1.242878275,58.79759295,0.378393854,13208,18519,17658,18482,1543,26047,20957,1.242878275,58.79759295,0.378393854,13208,
/adult-learner/find-a-course,(organic),12917,342,12895,4479,36340,18305,1.985249932,155.5137724,0.107347719,7467,12917,342,12895,4479,36340,18305,1.985249932,155.5137724,0.107347719,7467,
/adult-learner/skillsfuture-level-up,cet-q1-2025,12694,10169,12672,1056,16943,13726,1.234372723,67.96806246,0.329957744,8678,12694,10169,12672,1056,16943,13726,1.234372723,67.96806246,0.329957744,8678,
/adult-learner/find-a-course,cet-q1-2025,11982,1881,11974,2031,29659,14842,1.998315591,151.1036135,0.10766743,7582,11982,1881,11974,2031,29659,14842,1.998315591,151.1036135,0.10766743,7582,
/adult-learner,(direct),10344,6151,10178,2784,19262,13953,1.380491651,91.58664842,0.194151795,6894,10344,6151,10178,2784,19262,13953,1.380491651,91.58664842,0.194151795,6894,
/adult-learner/skillsfuture-credit,cet-q1-2025,10204,7415,10131,836,13927,11517,1.209255883,57.97418155,0.431188678,7655,10204,7415,10131,836,13927,11517,1.209255883,57.97418155,0.431188678,7655,
/adult-learner/find-a-course,(direct),8909,1559,8854,2521,31422,13764,2.282911944,148.9358839,0.156059285,5695,8909,1559,8854,2521,31422,13764,2.282911944,148.9358839,0.156059285,5695,
/adult-learner/course-types/part-time-diplomas-certificates,(organic),7871,5217,7842,2231,11798,10061,1.172646854,101.2909094,0.114302753,2497,7871,5217,7842,2231,11798,10061,1.172646854,101.2909094,0.114302753,2497,
/adult-learner/course-types/part-time-diplomas-certificates,cet-q1-2025,7179,4610,7167,586,8608,7951,1.082631116,41.91230328,0.489372406,4840,7179,4610,7167,586,8608,7951,1.082631116,41.91230328,0.489372406,4840,
/adult-learner,(organic),7165,802,6930,3390,12027,9200,1.307282609,102.0470546,0.126847826,3683,7165,802,6930,3390,12027,9200,1.307282609,102.0470546,0.126847826,3683,
/adult-learner/course-types/recommended/business,2025S1-sbm-acet,5814,5740,5802,477,8140,6609,1.231653805,68.3801091,0.329550613,4124,5814,5740,5802,477,8140,6609,1.231653805,68.3801091,0.329550613,4124,
/adult-learner/course-types/post-diploma-programmes,(organic),3526,1801,3519,994,5450,4099,1.329592584,70.87912382,0.082215174,897,3526,1801,3519,994,5450,4099,1.329592584,70.87912382,0.082215174,897,
/adult-learner/course-types/part-time-diplomas-certificates,(direct),2829,561,2787,916,4202,3565,1.178681627,89.29925108,0.13941094,1075,2829,561,2787,916,4202,3565,1.178681627,89.29925108,0.13941094,1075,
/adult-learner/course-types/short-courses,(organic),2573,1339,2562,634,3649,3089,1.181288443,94.00467751,0.155066365,1106,2573,1339,2562,634,3649,3089,1.181288443,94.00467751,0.155066365,1106,
/adult-learner/skillsfuture-level-up,(direct),2401,347,2383,550,3782,2990,1.264882943,82.97227741,0.115719064,797,2401,347,2383,550,3782,2990,1.264882943,82.97227741,0.115719064,797,
/adult-learner/skillsfuture-credit,(direct),2368,341,2351,526,3395,2930,1.158703072,63.57627895,0.193856655,809,2368,341,2351,526,3395,2930,1.158703072,63.57627895,0.193856655,809,
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,(organic),2193,1401,2176,584,3425,3000,1.141666667,121.7716957,0.236666667,2285,2193,1401,2176,584,3425,3000,1.141666667,121.7716957,0.236666667,2285,
/adult-learner,(not set),2157,1932,2154,282,3842,2551,1.506076049,121.8420252,0.402587221,1653,2157,1932,2154,282,3842,2551,1.506076049,121.8420252,0.402587221,1653,
/adult-learner/course-detail/NYP-DXSP09/specialist-diploma-in-spatial-design,1.20218E+17,1959,1957,1958,30,2097,2006,1.045363908,31.58481324,0.704885344,1918,1959,1957,1958,30,2097,2006,1.045363908,31.58481324,0.704885344,1918,
/adult-learner/course-types/work-study-post-diplomas,(organic),1931,1113,1913,626,2982,2422,1.231213873,120.148812,0.16597853,949,1931,1113,1913,626,2982,2422,1.231213873,120.148812,0.16597853,949,
/adult-learner/skillsfuture-credit,cet-q1-2025#sustainability,1812,1812,1812,32,1923,1872,1.02724359,8.980162396,0.893696581,1769,1812,1812,1812,32,1923,1872,1.02724359,8.980162396,0.893696581,1769,
/adult-learner/skillsfuture-credit,(organic),1780,238,1770,713,2365,2048,1.154785156,70.73370789,0.048339844,442,1780,238,1770,713,2365,2048,1.154785156,70.73370789,0.048339844,442,
/adult-learner/course-detail/NYP-DXSP07/specialist-diploma-in-user-experience-design-and-management,1.20218E+17,1713,1713,1711,38,1902,1837,1.035383778,26.21599664,0.774632553,1774,1713,1713,1711,38,1902,1837,1.035383778,26.21599664,0.774632553,1774,
/adult-learner/skillsfuture-level-up,(organic),1707,234,1691,778,2738,2170,1.261751152,85.33854928,0.05483871,542,1707,234,1691,778,2738,2170,1.261751152,85.33854928,0.05483871,542,
/adult-learner/skillsfuture-credit,cet-q1-2025#personal-development,1706,1695,1701,147,2466,2025,1.217777778,73.40979821,0.340740741,1421,1706,1695,1701,147,2466,2025,1.217777778,73.40979821,0.340740741,1421,
/adult-learner/course-types/short-courses,cet-q1-2025,1687,390,1683,299,2629,2026,1.2976308,122.5663668,0.120434353,789,1687,390,1683,299,2629,2026,1.2976308,122.5663668,0.120434353,789,
/adult-learner/course-types/recommended/artificial-intelligence,(organic),1415,1238,1407,271,2143,1778,1.205286839,107.0294822,0.226096738,875,1415,1238,1407,271,2143,1778,1.205286839,107.0294822,0.226096738,875,
/adult-learner/course-detail/NYP-DXSP04/specialist-diploma-in-augmented-reality-and-virtual-reality,1.20218E+17,1380,1380,1380,20,1462,1414,1.033946252,12.84415554,0.846534653,1349,1380,1380,1380,20,1462,1414,1.033946252,12.84415554,0.846534653,1349,
/adult-learner/course-types/short-courses,(direct),1371,173,1364,434,1917,1639,1.169615619,90.03883746,0.097010372,430,1371,173,1364,434,1917,1639,1.169615619,90.03883746,0.097010372,430,
/adult-learner/course-types/career-transition-conversion-programmes,(organic),1344,716,1339,410,1966,1658,1.185765983,92.85158802,0.094089264,401,1344,716,1339,410,1966,1658,1.185765983,92.85158802,0.094089264,401,
/adult-learner/course-detail/NYP-DXSP01/specialist-diploma-in-smart-project-and-facilities-management,1.20218E+17,1339,1336,1336,32,1453,1407,1.032693674,21.99826118,0.727789623,1360,1339,1336,1336,32,1453,1407,1.032693674,21.99826118,0.727789623,1360,
/adult-learner/course-types/post-diploma-programmes,(direct),1334,150,1331,467,2082,1672,1.245215311,57.69039506,0.089114833,334,1334,150,1331,467,2082,1672,1.245215311,57.69039506,0.089114833,334,
/adult-learner/course-detail/NYP-DXSP05/specialist-diploma-in-digital-media-production,1.20218E+17,1330,1326,1327,17,1407,1367,1.029261156,14.77512455,0.811265545,1319,1330,1326,1327,17,1407,1367,1.029261156,14.77512455,0.811265545,1319,
/adult-learner/course-detail/NYP-DXSP02/specialist-diploma-in-visual-effects,1.20218E+17,1316,1313,1315,43,1494,1412,1.058073654,22.54687178,0.770538244,1342,1316,1313,1315,43,1494,1412,1.058073654,22.54687178,0.770538244,1342,
/adult-learner/course-types/recommended/design-media,(direct),1290,1063,1281,120,1862,1700,1.095294118,69.55838512,0.744705882,1496,1290,1063,1281,120,1862,1700,1.095294118,69.55838512,0.744705882,1496,
/adult-learner/course-detail/NYP-DXSP03/specialist-diploma-in-service-experience-design-and-innovation,1.20218E+17,1274,1272,1272,21,1357,1315,1.031939163,14.03588291,0.84486692,1273,1274,1272,1272,21,1357,1315,1.031939163,14.03588291,0.84486692,1273,
/adult-learner/course-detail/NYP-DXSP06/specialist-diploma-in-digital-content-creation-for-e-commerce,1.20218E+17,1263,1258,1260,29,1354,1307,1.035960214,14.84523482,0.742157613,1222,1263,1258,1260,29,1354,1307,1.035960214,14.84523482,0.742157613,1222,
/adult-learner/course-detail/NYP-CLSP06/specialist-diploma-in-nutrition-science,(organic),1261,971,1256,272,1691,1556,1.086760925,125.5081728,0.265424165,1248,1261,971,1256,272,1691,1556,1.086760925,125.5081728,0.265424165,1248,
/adult-learner/find-a-course,(referral),1160,133,1159,320,3174,1597,1.987476518,181.4938161,0.099561678,657,1160,133,1159,320,3174,1597,1.987476518,181.4938161,0.099561678,657,
/adult-learner/course-types/work-study-certificates,(organic),1118,440,1114,382,1613,1358,1.187776141,127.3041837,0.103092784,411,1118,440,1114,382,1613,1358,1.187776141,127.3041837,0.103092784,411,
/adult-learner/skillsfuture-credit,cet-q1-2025#cybersecurity,1108,1106,1107,49,1386,1215,1.140740741,30.30356611,0.69218107,1048,1108,1106,1107,49,1386,1215,1.140740741,30.30356611,0.69218107,1048,
/adult-learner/course-types/work-study-post-diplomas,(referral),1079,1014,1075,171,1735,1387,1.250901226,122.9170292,0.179524153,669,1079,1014,1075,171,1735,1387,1.250901226,122.9170292,0.179524153,669,
/adult-learner/course-types/post-diploma-programmes/health-social-sciences,(organic),1047,51,1045,293,1359,1135,1.197356828,31.5536147,0.021145374,104,1047,51,1045,293,1359,1135,1.197356828,31.5536147,0.021145374,104,
/adult-learner/course-detail/NYP-BMSP13/specialist-diploma-in-human-resource-management,(organic),1030,699,1022,329,1615,1524,1.059711286,189.2026119,0.236220472,1114,1030,699,1022,329,1615,1524,1.059711286,189.2026119,0.236220472,1114,
/adult-learner/course-detail/NYP-BMDP04/diploma-in-business-practice-customer-relationship-and-service-management,(organic),978,161,977,360,1566,1348,1.161721068,177.9941472,0.132789318,842,978,161,977,360,1566,1348,1.161721068,177.9941472,0.132789318,842,
/adult-learner/skillsfuture-credit,cet-q1-2025#digital-marketing,974,972,972,38,1153,1068,1.079588015,26.87205066,0.805243446,963,974,972,972,38,1153,1068,1.079588015,26.87205066,0.805243446,963,
/adult-learner,(referral),961,488,936,237,1789,1416,1.263418079,120.3121611,0.280367232,732,961,488,936,237,1789,1416,1.263418079,120.3121611,0.280367232,732,
/adult-learner/course-types/post-diploma-programmes/information-technology,(organic),958,34,954,368,1374,1195,1.149790795,64.20639472,0.064435146,232,958,34,954,368,1374,1195,1.149790795,64.20639472,0.064435146,232,
/adult-learner/course-types/post-diploma-programmes/business-management,(organic),926,28,926,314,1280,1046,1.223709369,51.97607726,0.020076482,215,926,28,926,314,1280,1046,1.223709369,51.97607726,0.020076482,215,
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,(organic),925,238,921,325,1399,1257,1.112967383,149.7673185,0.142402546,826,925,238,921,325,1399,1257,1.112967383,149.7673185,0.142402546,826,
/adult-learner/course-detail/NYP-CL1301/right-food-with-right-medicine-for-diabetes-and-heart-patients-synchronous-elearning,(organic),912,906,912,46,1030,967,1.065149948,57.48680576,0.345398139,945,912,906,912,46,1030,967,1.065149948,57.48680576,0.345398139,945,
/adult-learner/course-detail/NYP-ITDP04/diploma-in-infocomm-and-digital-media-it-network-and-system-administration-dinsa2,(organic),868,139,864,334,1316,1191,1.10495382,190.4345765,0.158690176,723,868,139,864,334,1316,1191,1.10495382,190.4345765,0.158690176,723,
/adult-learner/course-types/post-diploma-programmes,cet-q1-2025,865,60,865,160,1177,938,1.254797441,48.05762944,0.042643923,150,865,60,865,160,1177,938,1.254797441,48.05762944,0.042643923,150,
/adult-learner/course-detail/NYP-ITSP09/specialist-diploma-in-business-and-big-data-analytics,(organic),857,461,852,304,1234,1179,1.046649703,152.7997804,0.222222222,766,857,461,852,304,1234,1179,1.046649703,152.7997804,0.222222222,766,
/adult-learner/course-types/career-transition-conversion-programmes,(direct),787,117,784,228,1020,930,1.096774194,119.9018013,0.090322581,215,787,117,784,228,1020,930,1.096774194,119.9018013,0.090322581,215,
/adult-learner/course-detail/NYP-BMDP06/diploma-in-business-practice-supply-chain-management,(organic),761,180,760,251,1123,989,1.135490394,119.8748376,0.141557128,580,761,180,760,251,1123,989,1.135490394,119.8748376,0.141557128,580,
/adult-learner/course-types/work-study-post-diplomas,(direct),759,167,750,301,1106,946,1.169133192,120.1602601,0.155391121,328,759,167,750,301,1106,946,1.169133192,120.1602601,0.155391121,328,
/adult-learner/funding/financial-matters-assistance,(direct),755,307,746,255,1060,941,1.126461211,106.3497059,0.265674814,627,755,307,746,255,1060,941,1.126461211,106.3497059,0.265674814,627,
/adult-learner/course-types/post-diploma-programmes/engineering,(organic),740,20,738,303,1069,903,1.183831672,107.1873851,0.062015504,243,740,20,738,303,1069,903,1.183831672,107.1873851,0.062015504,243,
/adult-learner/course-detail/NYP-CL0897/tcm-and-your-immune-system-boosting-your-immunity-with-ideas-from-east-and-west,(organic),726,561,724,97,928,841,1.103448276,107.3972054,0.171224732,671,726,561,724,97,928,841,1.103448276,107.3972054,0.171224732,671,
/adult-learner/course-types/post-diploma-programmes/applied-science,(organic),714,12,714,264,961,792,1.213383838,50.95737101,0.03030303,158,714,12,714,264,961,792,1.213383838,50.95737101,0.03030303,158,
/adult-learner/course-detail/NYP-EGDP06/diploma-in-engineering-electronic-and-digital-engineering,(organic),686,107,684,219,930,865,1.075144509,116.5983368,0.121387283,500,686,107,684,219,930,865,1.075144509,116.5983368,0.121387283,500,
/adult-learner/skillsfuture-credit,cet-q1-2025#engineering,683,682,682,19,785,729,1.076817558,19.83158425,0.680384088,644,683,682,682,19,785,729,1.076817558,19.83158425,0.680384088,644,
/adult-learner/course-detail/NYP-HSAF42/advanced-diploma-in-nursing-medical-surgical-adms1,(organic),676,438,671,172,936,838,1.116945107,107.7069421,0.229116945,515,676,438,671,172,936,838,1.116945107,107.7069421,0.229116945,515,
/adult-learner/course-types/career-transition-conversion-programmes,cet-q1-2025,659,124,659,166,880,768,1.145833333,86.45449014,0.08984375,202,659,124,659,166,880,768,1.145833333,86.45449014,0.08984375,202,
/adult-learner/course-types/post-diploma-programmes/business-management,(direct),653,66,652,200,787,707,1.113154173,36.47685301,0.042432815,175,653,66,652,200,787,707,1.113154173,36.47685301,0.042432815,175,
/adult-learner/course-detail/NYP-CE231001/building-artificial-intelligence-ai-applications-from-end-to-end-classroom-and-synchronous-e-learning,cet-q1-2025,646,0,646,137,775,717,1.080892608,71.36039501,0.016736402,234,646,0,646,137,775,717,1.080892608,71.36039501,0.016736402,234,
/adult-learner/find-a-course,(not set),627,11,627,214,6401,948,6.752109705,505.9169373,0.103375527,375,627,11,627,214,6401,948,6.752109705,505.9169373,0.103375527,375,
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,(direct),622,133,615,174,824,761,1.082785808,108.6577883,0.181340342,375,622,133,615,174,824,761,1.082785808,108.6577883,0.181340342,375,
/adult-learner/course-types/work-study-certificates,(direct),614,123,606,184,779,709,1.098730606,89.55878309,0.100141044,216,614,123,606,184,779,709,1.098730606,89.55878309,0.100141044,216,
/adult-learner/course-detail/NYP-BMDP07/diploma-in-business-practice-hospitality-and-tourism-management,(organic),608,54,607,252,969,847,1.14403778,108.803321,0.107438017,501,608,54,607,252,969,847,1.14403778,108.803321,0.107438017,501,
/adult-learner/course-types/post-diploma-programmes/information-technology,(direct),607,64,605,197,808,718,1.125348189,47.92695262,0.077994429,171,607,64,605,197,808,718,1.125348189,47.92695262,0.077994429,171,
/adult-learner/course-types/recommended/business,(direct),596,127,583,200,849,662,1.282477341,116.0312086,0.134441088,298,596,127,583,200,849,662,1.282477341,116.0312086,0.134441088,298,
/adult-learner/find-a-course,cet-q1-2025#personal-development,592,0,592,105,1056,674,1.566765579,172.8516157,0.013353116,289,592,0,592,105,1056,674,1.566765579,172.8516157,0.013353116,289,
