Campaign name,Results,Result indicator,Frequency,Cost per results,Ad set budget,Ad set budget type,Starts,Ends,Amount spent (SGD),Reach,Impressions,"CPM (cost per 1,000 impressions) (SGD)",Link clicks,CPC (cost per link click) (SGD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (SGD),Post engagements,Cost per post engagement (SGD),3-second video plays,ThruPlays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 100%,Landing page views
NY2520 - CET B2C - Awareness - Adult Learners with SFC - 15 Jan - 11 Feb,690587,reach,2.566977,4.34408699,3000,Lifetime,08-01-25,11-02-25,2999.97,690587,1772721,1.692297,1959,1.531378,0.110508,3420,0.192924,0.877184,2070,1.449261,,,,,,,557
NY2520 - CET B2C - Awareness - $4k Top Up - 15 Jan - 11 Feb,525633,reach,2.714683,5.70740422,3000,Lifetime,08-01-25,11-02-25,3000,525633,1426927,2.10242,1956,1.533742,0.137078,3898,0.273174,0.769625,2069,1.449976,,,,,,,763
NY2520 - CET B2C - Awareness - ITE Grads - 15 Jan - 11 Feb,360528,reach,2.585317,4.16056451,1500,Lifetime,08-01-25,11-02-25,1500,360528,932079,1.609306,1048,1.431298,0.112437,1763,0.189147,0.850822,1115,1.345291,,,,,,,282
NY2520 - CET B2C - Traffic - Adult Learners with SFC - 27 Feb - 21 Mar,4042,actions:link_click,2.579783,0.61826076,2500,Lifetime,27-02-25,21-03-25,2499.01,238170,614427,4.06722,4042,0.618261,0.657849,5166,0.840783,0.483742,4099,0.609663,,,,,,,1490
NY2520 - CET B2C - Traffic - General Adult Learning - AI - 28 Feb - 21 Mar,5102,actions:link_click,2.243607,0.58780282,3000,Lifetime,28-02-25,21-03-25,2998.97,278949,625852,4.79182,5102,0.587803,0.815209,10463,1.671801,0.286626,5346,0.560975,,,,,,,2947
NY2520 - CET B2C - Traffic - General Adult Learning - Sustainability - 28 Feb - 21 Mar,5224,actions:link_click,2.385319,0.57410222,3000,Lifetime,28-02-25,21-03-25,2999.11,384043,916065,3.273905,5224,0.574102,0.570265,7011,0.765339,0.427772,5324,0.563319,,,,,,,1378
NY2520 - CET B2C - Traffic - General Adult Learning - Digital Marketing - 28 Feb - 21 Mar,2885,actions:link_click,1.71167,0.51936568,1500,Lifetime,28-02-25,21-03-25,1498.37,265342,454178,3.299081,2885,0.519366,0.635214,3789,0.834254,0.395453,2959,0.506377,,,,,,,767
NY2520 - CET B2C - Traffic - General Adult Learning - Cybersecurity - 28 Feb - 21 Mar,2619,actions:link_click,1.721143,0.57237113,1500,Lifetime,28-02-25,21-03-25,1499.04,265631,457189,3.278819,2619,0.572371,0.572848,4542,0.993462,0.33004,2698,0.555612,,,,,,,990
NY2520 - CET B2C - Traffic - General Adult Learning - Engineering - 28 Feb - 21 Mar,1623,actions:link_click,1.736671,0.61566852,1000,Lifetime,28-02-25,21-03-25,999.23,169704,294720,3.390438,1623,0.615669,0.550692,3333,1.130904,0.299799,1753,0.570011,,,,,,,608
NY2520 - CET B2C - Traffic - General Adult Learning - Personal Development - 28 Feb -  21 Mar,2583,actions:link_click,1.765325,0.58058459,1500,Lifetime,28-02-25,21-03-25,1499.65,112705,198961,7.537407,2583,0.580585,1.298244,5205,2.616091,0.288117,2659,0.56399,,,,,,,1924
NY2520 - CET B2C - Traffic - Mid-Careers with $4k SFC - 28 Feb - 21 Mar,5207,actions:link_click,2.822851,0.57600922,3000,Lifetime,28-02-25,21-03-25,2999.28,300160,847307,3.53978,5207,0.576009,0.614535,7924,0.935198,0.378506,5426,0.552761,,,,,,,1863
NY2520 - CET B2C - Traffic - ITE Grads - 28 Feb - 21 Mar,4572,actions:link_click,3.566425,0.65548119,3000,Lifetime,28-02-25,21-03-25,2996.86,282076,1006003,2.978977,4572,0.655481,0.454472,6358,0.632006,0.471353,4693,0.638581,,,,,,,1131
NY2520 - CET B2C - Awareness - General Adult Learning - 15 Jan - 11 Feb,365315,reach,2.00582,2.73736365,1000,Lifetime,08-01-25,11-02-25,1000,365315,732756,1.364711,219,4.56621,0.029887,1326,0.180961,0.754148,99954,0.010005,99521,8489,10289,2971,1515,905,52
