Application ID,Course Category,Course Type,Course Code,Course Name,Course Intake No,Course Start Date,Course End Date,Course Intake Status,School,Branch,Application Status,RegDate
NYP-AS008Z-240002-00010,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS008Z,Medication Safety (part of PDC2 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS008Z-240002,2024-10-14,2025-05-05,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-10-03
NYP-AS010Z-240002-00001,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-26
NYP-AS010Z-240002-00002,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-26
NYP-AS010Z-240002-00003,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-27
NYP-AS010Z-240002-00004,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-28
NYP-AS010Z-240002-00005,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-12-02
NYP-AS010Z-240002-00006,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-29
NYP-AS010Z-240002-00009,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-12-02
NYP-AS010Z-240002-00011,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-12-03
NYP-AS010Z-240002-00012,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-12-03
NYP-AS010Z-240002-00013,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-12-03
NYP-AS010Z-240002-00014,(AD) Advanced Diploma,(SBMC) Academic Modular,NYP-AS010Z,Automated Medication Systems (part of PDC4 of Advanced Diploma in Pharmaceutical Sciences),NYP-AS010Z-240002,2024-12-17,2025-03-10,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-12-03
