RegDate,Interested Course Code,Interested Course Name,Course Category,Course Type,Area of Interest,Sub-interest
2025-01-31,NYP-BMDP04,Diploma in Business Practice (Customer Relationship & Service Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Customer Relationship;Others
2025-01-31,NYP-BMDP07,Diploma in Business Practice (Hospitality & Tourism Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Hospitality & Tourism;Others
2025-01-31,NYP-BMDP07,Diploma in Business Practice (Hospitality & Tourism Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Hospitality & Tourism;Others
2025-01-31,NYP-BMSP13,Specialist Diploma in Human Resource Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Human Resource
2025-01-31,NYP-BMSP13,Specialist Diploma in Human Resource Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Human Resource
2025-01-31,NYP-BMSP13,Specialist Diploma in Human Resource Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Human Resource
2025-01-31,NYP-BMSP18,Specialist Diploma in Sport Management & Marketing,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Business;Others;Business,Sports & Wellness;Others;Marketing
2025-01-31,NYP-BMSP21,Specialist Diploma in HR Analytics & Digitalisation,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Business,Data Analytics;Human Resource
2025-01-31,NYP-CB1037,HR Analytics,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology,Data Analytics
2025-01-31,NYP-CB1295,STARTING YOUR COFFEE BUSINESS,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Entrepreneurship
2025-01-31,NYP-CB1295,STARTING YOUR COFFEE BUSINESS,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Entrepreneurship
2025-01-31,NYP-CB1579,AI for Business Communication,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Technology,Sales & Marketing;Artificial Intelligence
2025-01-31,NYP-CE0414,3D Printing,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Engineering,Precision Engineering
2025-01-31,NYP-CE1151,Introduction to Deep Learning,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology,Robotics And Automation;Artificial Intelligence
2025-01-31,NYP-CE1239,Robotic Process Automation (RPA) for Beginners,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Industry 4.0;Robotics And Automation
2025-01-31,NYP-CE1354,Electric Vehicle & Charging System (Classroom & Synchronous eLearning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Automotive Technology;Electrical & Electronic Engineering
2025-01-31,NYP-CE1510,Demystify Generative Artificial Intelligence,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology;Engineering;Technology,Data Analytics;Infocomm Technology;Artificial Intelligence
2025-01-31,NYP-CE1540,Introduction to Artificial Intelligence  and  Machine Learning (Synchronous e-Learning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology;Technology,Industry 4.0;Data Analytics;Artificial Intelligence
2025-01-31,NYP-CE231001,Building Artificial Intelligence (AI) Applications from End to End (Classroom and Synchronous E-Learning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering;Technology,Industry 4.0;Infocomm Technology;Artificial Intelligence
2025-01-31,NYP-CE245005,AI Practitioner Preparatory Course,(CP) Customised Programme,(NCCC) Non-Certifiable customised Courses,Technology,Artificial Intelligence
2025-01-31,NYP-CE246001,AI Roadmapping for Companies and Enterprises,(NCC) Non-Certifiable Courses,(SMN) Seminars and Webinars,Technology,Artificial Intelligence
2025-01-31,NYP-CI231005,The International Council of E-Commerce Consultants Certified Cloud Security Engineer (EC-Council CCSE),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology,Infocomm Technology;Cyber Security
2025-01-31,NYP-CI241001,Applied Generative Artificial Intelligence: Real-world Project Development,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology,Artificial Intelligence
2025-01-31,NYP-CI246001,Generative AI @Work,(NCC) Non-Certifiable Courses,(SMN) Seminars and Webinars,Technology,Artificial Intelligence
2025-01-31,NYP-CI246001,Generative AI @Work,(NCC) Non-Certifiable Courses,(SMN) Seminars and Webinars,Technology,Artificial Intelligence
2025-01-31,NYP-CK1308,Workplace Communication: Effective Email Writing,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Entrepreneurship
2025-01-31,NYP-CL0392,Understanding Food Labels,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Public Health & Social Services,Healthcare
2025-01-31,NYP-CL231003M01,Pharmacy Technician Entry to Practice Framework (PT ETP) Train-the-trainer Workshop,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Public Health & Social Services,Healthcare
2025-01-31,NYP-CL231003M01,Pharmacy Technician Entry to Practice Framework (PT ETP) Train-the-trainer Workshop,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Public Health & Social Services,Healthcare
2025-01-31,NYP-CLSP06,Specialist Diploma in Nutrition Science,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Food,Others;Food Nutrition & Sciences
